LapNumber,Avg_LapStartTime_KST,Avg_LapFinishTime_KST,Num_Drivers
1.0,2024-12-08 22:56:47.816,2024-12-08 22:58:26.030,20
2.0,2024-12-08 22:58:26.388,2024-12-08 23:00:21.338,19
3.0,2024-12-08 23:00:21.338,2024-12-08 23:02:02.457,19
4.0,2024-12-08 23:02:02.457,2024-12-08 23:03:33.529,19
5.0,2024-12-08 23:03:33.529,2024-12-08 23:05:04.554,19
6.0,2024-12-08 23:05:04.554,2024-12-08 23:06:34.774,19
7.0,2024-12-08 23:06:34.774,2024-12-08 23:08:06.870,19
8.0,2024-12-08 23:08:06.870,2024-12-08 23:09:36.904,19
9.0,2024-12-08 23:09:36.904,2024-12-08 23:11:06.964,19
10.0,2024-12-08 23:11:06.964,2024-12-08 23:12:37.365,19
11.0,2024-12-08 23:12:37.365,2024-12-08 23:14:07.878,19
12.0,2024-12-08 23:14:07.878,2024-12-08 23:15:39.659,19
13.0,2024-12-08 23:15:39.659,2024-12-08 23:17:13.501,19
14.0,2024-12-08 23:17:13.501,2024-12-08 23:18:45.909,19
15.0,2024-12-08 23:18:45.909,2024-12-08 23:20:17.104,19
16.0,2024-12-08 23:20:17.104,2024-12-08 23:21:47.110,19
17.0,2024-12-08 23:21:47.110,2024-12-08 23:23:17.085,19
18.0,2024-12-08 23:23:17.085,2024-12-08 23:24:47.031,19
19.0,2024-12-08 23:24:47.031,2024-12-08 23:26:17.098,19
20.0,2024-12-08 23:26:17.098,2024-12-08 23:27:47.334,19
21.0,2024-12-08 23:27:47.334,2024-12-08 23:29:18.399,19
22.0,2024-12-08 23:29:18.399,2024-12-08 23:30:48.774,19
23.0,2024-12-08 23:30:48.774,2024-12-08 23:32:21.197,19
24.0,2024-12-08 23:32:21.197,2024-12-08 23:33:52.571,19
25.0,2024-12-08 23:33:52.571,2024-12-08 23:35:23.685,19
26.0,2024-12-08 23:35:23.685,2024-12-08 23:36:55.362,19
27.0,2024-12-08 23:36:51.853,2024-12-08 23:38:23.763,18
28.0,2024-12-08 23:38:23.763,2024-12-08 23:39:53.399,18
29.0,2024-12-08 23:39:53.399,2024-12-08 23:41:23.365,18
30.0,2024-12-08 23:41:23.365,2024-12-08 23:43:01.116,18
31.0,2024-12-08 23:42:56.749,2024-12-08 23:44:27.605,17
32.0,2024-12-08 23:44:27.605,2024-12-08 23:45:57.149,17
33.0,2024-12-08 23:45:57.149,2024-12-08 23:47:29.429,17
34.0,2024-12-08 23:47:29.429,2024-12-08 23:48:58.740,17
35.0,2024-12-08 23:48:58.740,2024-12-08 23:50:29.018,17
36.0,2024-12-08 23:50:29.018,2024-12-08 23:51:57.944,17
37.0,2024-12-08 23:51:57.944,2024-12-08 23:53:27.000,17
38.0,2024-12-08 23:53:27.000,2024-12-08 23:54:57.144,17
39.0,2024-12-08 23:54:57.144,2024-12-08 23:56:26.138,17
40.0,2024-12-08 23:56:26.138,2024-12-08 23:57:56.741,17
41.0,2024-12-08 23:57:56.741,2024-12-08 23:59:25.515,17
42.0,2024-12-08 23:59:25.515,2024-12-09 00:00:54.251,17
43.0,2024-12-09 00:00:54.251,2024-12-09 00:02:23.265,17
44.0,2024-12-09 00:02:23.265,2024-12-09 00:03:52.221,17
45.0,2024-12-09 00:03:52.221,2024-12-09 00:05:21.240,17
46.0,2024-12-09 00:05:21.240,2024-12-09 00:06:50.350,17
47.0,2024-12-09 00:06:50.350,2024-12-09 00:08:19.458,17
48.0,2024-12-09 00:08:19.458,2024-12-09 00:09:48.345,17
49.0,2024-12-09 00:09:48.345,2024-12-09 00:11:17.299,17
50.0,2024-12-09 00:11:17.299,2024-12-09 00:12:46.408,17
51.0,2024-12-09 00:12:46.408,2024-12-09 00:14:15.297,17
52.0,2024-12-09 00:14:15.297,2024-12-09 00:15:44.215,17
53.0,2024-12-09 00:15:44.215,2024-12-09 00:17:13.272,17
54.0,2024-12-09 00:17:13.272,2024-12-09 00:18:42.230,17
55.0,2024-12-09 00:18:42.230,2024-12-09 00:20:11.152,17
56.0,2024-12-09 00:20:11.152,2024-12-09 00:21:44.895,17
57.0,2024-12-09 00:21:36.761,2024-12-09 00:23:05.462,16
58.0,2024-12-09 00:22:39.821,2024-12-09 00:24:08.971,10
